" The customer does not exist in the system anymore.","مشتری مورد نظر دیگر در سیستم موجود نیست."
" You will need to navigate to your "," You will need to navigate to your "
" [deleted]"," [پاک شده]"
" and "," و "
" and go to the "," and go to the "
" sections for your Hosted Checkout Pages."," sections for your Hosted Checkout Pages."
"%s (Default Template from Locale)","%s (قالب پیش فرض از تنظیمات محلی)"
"%s cache type(s) disabled.","%s نوع کش(s) غیر فعال."
"%s cache type(s) enabled.","%s نوع کش(s) فعال."
"%s cache type(s) refreshed.","%s نوع کش(s) تجدید نظر."
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)"
"(For US 2-letter state names)","برای آمریکا از نام های دو حرفی استفاده کنید"
"(If left empty will be auto-generated)","(اگر این بخش خالی بماند به صورت خودکار ساخته خواهد شد)"
"(Leave empty for first spreadsheet)","(برای اولین صفحه گسترده خالی بگذارید)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(اگر ستون 'store' خالی باشد یا در پرونده وارد شده نباشد محصولات به این فروشگاه افزوده/بروزرسالی خواهند شد.)"
"(Shift-)Click or drag to change value","برای تغییر مقدار (شیفت-) کلیک کنید یا بکشید"
"(Starting with)","(آغاز با)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(مانی که 'نه', تنها ترسیم شده های زمینه باید وار.د شوند. زمانی که ترسیم میشوند, استفاده شوداز 'ستون 1', 'ستون 2', سایر موارد)"
"(You have to increase php memory_limit before changing this value)","( شما باید php memory_limit را قبل از تغییر این مقدار افزایش دهید )"
"(\\t for tab)","(\\t برای tab)"
"* - If indexing is in progress, it will be killed and new indexing process will start","* - اگر فهرست‌سازی در حال انجام هست، متوقف خواهد شد و فهرست‌سازی جدیدی آغاز خواهد شد"
"* Required Fields","* Required Fields"
"- Click on any of the time parts to increase it","- روی هر کدام از بخش های زمانی برای افزایش آن کلیک کنید"
"- Hold mouse button on any of the above buttons for faster selection.","- دکمه‌ی موس را روی هر کدام از دکمه‌های بالا برای انتخاب سریعتر نگه‌دارید."
"- Use the %s buttons to select month","- از دکمه‌های %s برای انتخاب ماه استفاده کنید"
"- Use the %s, %s buttons to select year","- از دکمه‌های %s،%s برای انتخاب سال استفاده کنید"
"- or Shift-click to decrease it","- یا برای کاهش آن از Shift-click استفاده کنید"
"- or click and drag for faster selection.","- یا برای انتخاب سریعتر کلیک کنید و بکشید"
"-- Not Selected --","-- انتخاب نشده --"
"-- Please Select --","--لطفا انتخاب کنید--"
"-- Please Select Billing Agreement--","-- لطفا توافق نامه صورتحساب را انتخاب کنید--"
"-- Please Select a Category --","-- لطفا یک دسته را انتخاب کنید --"
"-- Please select --","-- لطفا انتخاب کنید --"
"--Please Select--","--لطفا انتخاب کنید--"
"1 Hour","ساعت ۱"
"1. set up","1. set up"
"12 Hours","ساعت ۱۲"
"12h AM/PM","س12  AM/PM"
"2 Hours","۲ ساعت"
"2. customize","2. customize"
"24 Hours","ساعت ۲۴"
"24h","۲۴س"
"2YTD","2YTD"
"6 Hours","6 ساعت"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">خطای ۴۰۴</h1><p>صفحه مورد نظر پیدا نشد.</p>"
"<strong>%s</strong> request access to your account","<strong>%s</strong> request access to your account"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Attention</strong>: Captcha is case sensitive."
"A user with the same user name or email aleady exists.","این کاربر با همان نام کاربری یا پست الکترونیکی وجود دارد."
"API Key","API Key"
"API Key Confirmation","کلید تایید API"
"ASCII","ASCII"
"Abandoned Carts","سبد خرید متروکه"
"About the calendar","درباره‌ی تقویم"
"Access Denied.","دسترسی ممنوع است."
"Access denied","دسترسی امکان پذیر نیست"
"Access denied.","دسترسی امکان پذیر نیست"
"Account Created in:","ایجاد حساب در :"
"Account Created on (%s):","ایجاد حساب در (%s):"
"Account Created on:","ایجاد حساب در :"
"Account Information","اطلاعات حساب"
"Account Status","وضعیت حساب"
"Account status","وضعیت حساب"
"Action","اقدام"
"Actions","اقدام های"
"Actions XML","اقدام های XML"
"Active","فعال"
"Add","افزودن"
"Add Exception","افزودن استثنا"
"Add Field Mapping","افزودن فیلد نقشه"
"Add Field with URL:","افزودن فیلد با URL:"
"Add New","Add New"
"Add New Image","اضافه کردن تصویر جدید"
"Add New Profile","افزودن پروفایل جدید"
"Add New Role","افزودن وظیفه جدید"
"Add New Template","افزودن قالب جدید"
"Add New URL Rewrite","افزودن Urlrewrite (بازنویسی آدرس) جدید"
"Add New User","افزودن کاربر جدید"
"Add New Variable","اضافه کردن متغیر های جدید"
"Add Products","اضافه کردن محصول"
"Add URL Rewrite","افزودن Urlrewrite"
"Add URL Rewrite for a Category","افزودن Urlrewrite برای یک دسته"
"Add URL Rewrite for a Product","افزودن Urlrewrite برای یک کالا"
"Add after","افزودن بعد از"
"Additional Cache Management","مدیریت مخزن های اضافی"
"Address Type:","نوع نشانی:"
"Admin","مدیر"
"Advanced Admin Section","بخش مدیریت پیشرفته"
"Advanced Profiles","پروفایل‌های پیشرفته"
"Advanced Section","بخش پیشرفته"
"After authorization application will have access to you account.","After authorization application will have access to you account."
"All","همه"
"All Allowed Countries","همه‌ی کشورهای مجاز"
"All Cache","تمام مخزن (Cache)"
"All Files","همه‌ی پرونده‌ها"
"All Reviews","تمام باز بینی ها"
"All Store Views","همه‌ی نماهای فروشگاه"
"All Tags","تمام برچسب ها"
"All Websites","همه‌ی وب‌سایت‌ها"
"All countries","همه‌ی کشورها"
"All fields","همه‌ی موارد"
"All possible rates were fetched, please click on ""Save"" to apply","تمام نرخهای ممکن دریافت شد، برای تایید روی «ذخیره» کلیک کنید"
"All rates were fetched, please click on ""Save"" to apply","تمام نرخها دریافت شد، برای تایید روی «ذخیره» کلیک کنید"
"All valid rates have been saved.","همه نرخهای معتبر ذخیره شدند"
"Always (during development)","Always (during development)"
"Amounts","مقادیر"
"An error has occured while syncronizing media storages.","An error has occured while syncronizing media storages."
"An error occurred while clearing the JavaScript/CSS cache.","در هنگام پاک سازی جاوا اسکریپت خطا رخ داده است/CSS کش."
"An error occurred while clearing the image cache.","در هنگام پاک کردن کش عکس خطا رخ داده است."
"An error occurred while deleting URL Rewrite.","An error occurred while deleting URL Rewrite."
"An error occurred while deleting email template data. Please review log and try again.","در هنگام پاک کردن اطلاعات ایمیل قالب خطا رخ داده است. لطفا دوباره وارد شده وسعی نمایید."
"An error occurred while deleting record(s).","An error occurred while deleting record(s)."
"An error occurred while deleting this role.","در هنگام پاک کردن قانون خطا رخ داده است."
"An error occurred while deleting this set.","در هنگام پاک کردن این مجموعه خطا رخ داده است."
"An error occurred while deleting this template.","An error occurred while deleting this template."
"An error occurred while finishing process. Please refresh the cache","An error occurred while finishing process. Please refresh the cache"
"An error occurred while rebuilding the CatalogInventory Stock Status.","An error occurred while rebuilding the CatalogInventory Stock Status."
"An error occurred while rebuilding the catalog index.","An error occurred while rebuilding the catalog index."
"An error occurred while rebuilding the flat catalog category.","An error occurred while rebuilding the flat catalog category."
"An error occurred while rebuilding the flat product catalog.","An error occurred while rebuilding the flat product catalog."
"An error occurred while rebuilding the search index.","An error occurred while rebuilding the search index."
"An error occurred while refreshing the Catalog Rewrites.","An error occurred while refreshing the Catalog Rewrites."
"An error occurred while refreshing the Layered Navigation indices.","An error occurred while refreshing the Layered Navigation indices."
"An error occurred while refreshing the catalog rewrites.","An error occurred while refreshing the catalog rewrites."
"An error occurred while refreshing the layered navigation indices.","An error occurred while refreshing the layered navigation indices."
"An error occurred while saving URL Rewrite.","An error occurred while saving URL Rewrite."
"An error occurred while saving account.","An error occurred while saving account."
"An error occurred while saving review.","An error occurred while saving review."
"An error occurred while saving the customer.","An error occurred while saving the customer."
"An error occurred while saving this configuration:","An error occurred while saving this configuration:"
"An error occurred while saving this role.","An error occurred while saving this role."
