"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' appears to be a DNS hostname but cannot extract TLD part"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' appears to be a DNS hostname but cannot match TLD against known list"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' appears to be a DNS hostname but contains a dash in an invalid position"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' appears to be a local network name but local network names are not allowed"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' appears to be an IP address, but IP addresses are not allowed"
"'%value%' does not appear to be a valid local network name","'%value%' does not appear to be a valid local network name"
"* Required Fields","* Required Fields"
"ALL GROUPS","ALL GROUPS"
"Account Dashboard","پیشخوان"
"Account Information","اطلاعات حساب"
"Account Sharing Options","گزینه‌های اشتراک حساب"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","تایید حساب ضروری است. لطفا ایمیل خود را برای دریافت لینک تایید چک کنید. برای دریافت مجدد ایمیل تایید لطفا <a href=""%s"">اینجا</a> را کلیک کنید ."
"Action","Action"
"Add New Address","افزودن نشانی جدید"
"Add New Customer","افزودن مشتری جدید"
"Add New Customer Group","افزودن گروه مشتریان جدید"
"Added From","افزوده شده از"
"Additional Address Entries","آدرس های ورودی اضافه"
"Address","نشانی"
"Address Book","دفتر نشانی"
"Address Books","Address Books"
"Address Information","اطلاعات آدرس"
"Address Templates","Address Templates"
"Addresses","نشانی ها"
"Admin","مدیر"
"All","همه"
"All Store Views","همه نماهای فروشگاه"
"All countries","همه کشورها"
"Always optional.","همیشه اختیاری"
"Amount","مقدار"
"An error occurred while deleting the address.","An error occurred while deleting the address."
"An error occurred while retrieving the option value: %s.","An error occurred while retrieving the option value: %s."
"An error occurred while saving the collection, aborting. Error: %s","An error occurred while saving the collection, aborting. Error: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","An invalid option ID is specified for %s (%s), skipping the record."
"Approved","تایید شده"
"Are you sure that you want to remove this item?","آیا اطمینان دارید که این مورد را می‌خواهید حذف کنید؟"
"Are you sure you want to cancel adding of this address?","آیا اطمینان دارید که می‌خواهید از افزودن این نشانی منصرف شوید؟"
"Are you sure you want to delete this address?","آیا مطمئن هستید که می خواهید این نشانی را حذف کنید؟"
"Are you sure?","آیا مطمئن هستید؟"
"Array of Entity collections is expected.","Array of Entity collections is expected"
"Assign a Customer Group","یک گروه مشتری واگذار کنید"
"Average Sale","میانگین فروش"
"Back","بازگشت"
"Back - link to the previously viewed page","Back - link to the previously viewed page"
"Back to Login","بازگشت به ورود"
"Bad request.","درخواست نادرست."
