"loading...","در حال بارگزاری"
"Continue shopping","ادامه خرید"
"View cart & checkout","مشاهده سبد خرید و تسویه"
"You might also like:","شما ممکن است علاقه مند باشید به :"
"Loading box size","Loading box size"
"Loading box size. e.g.: 260x50","Loading box size. e.g.: 260x50"
"Confirm box size","Confirm box size"
"Confirm box size. e.g.: 260x134","Confirm box size. e.g.: 260x134"
"Image product size","Image product size"
"Confirm box size. e.g.: 55x55","Confirm box size. e.g.: 55x55"
"Show Popup","Show Popup"
"Show popup when product is added.","Show popup when product is added."
"Show Upsell products","Show Upsell products"
"Show Upsell products in popup when product is added.","Show Upsell products in popup when product is added."
"Upsell number of element","Upsell number of element"
"Upsell number of element to be shown.","Upsell number of element to be shown."
"Upsell number of element per line","Upsell number of element per line"
"Upsell image size","Upsell image size"
"%s was successfully added to your shopping cart.","محصول %s با موفقیت به سبد خرید شما اضافه شد."
